,,,,,,
Name,Website,Info,Area,Tag 1,Tag 2,Tag 3
#1forEquality,https://1forequality.com/,Campaign by Just Fair and The Equality Trust to bring the socioeconomic duty of the Equality Act 2010 (s1) to life.,England,Human Rights,Equality,
4in10: London Child Poverty Network,www.4in10.org.uk, ,England,Poverty,Community,
ACORN,https://acorntheunion.org.uk,"Fast growing union of tenants and low-income citizens, engaged in grassroots organising and direct-action campaigns on the issues of housing and other inequalities that affect us.",England,Inequality,Housing,Democracy
Attitude is Everything,http://www.attitudeiseverything.org.uk,"Attitude is Everything improves Deaf and disabled people's access to live music by working in partnership with audiences, artists and the music industry.",UK Wide,Music,Disability,
All Walks Beyond the Catwalk,http://www.allwalks.org,"We challenge fashion industry dependence on one body ideal, using inspirational press campaigns that feature a broader range of sizes, ages and skin tones. Through educational work, we empower undergraduates to change practice within their chosen field and embody diversity.",UK Wide,Fashion,,
Alzheimers Right to Know Campaign,https://www.alzheimers.org.uk/homepage/197/right_to_know_campaign,Alzheimer's Society's Right to Know campaign wants to ensure that more people living with dementia receive a formal diagnosis and that everyone diagnosed is fully supported afterwards.,UK Wide,Health,,
"Better Choices, Better Care (Independent Age)",www.independentage.org/better-care,"Independent Age's Better Choices, Better Care campaign aims to make sure that all older people have access to a good care home if they need one. ",England,Older People,Social Care,
Big Lottery Refund campaign,https://www.dsc.org.uk/big-lottery-refund/,"The government owes UK charities £425m. Enough to fund the activities of up to 42,000 small and medium charities. We want them to pay up and get this money back where it should be – supporting millions of people in communities across the UK.",UK Wide,Civil Society,,
Bloody Good Period,https://www.bloodygoodperiod.com/#intro,"We give period supplies to asylum seekers, refugees & those who can't afford them.",England,Gender,Health,Refugees
Bromley by Bow,http://www.bbbc.org.uk/,"The Bromley by Bow Centre is an innovative community organisation in east London, working in one of the most deprived boroughs in the UK. We support families, young people and adults of all ages to learn new skills, improve their health and wellbeing, find employment and develop the confidence to achieve their goals and transform their lives. At the core of the Centre’s thinking is our belief in people and their capacity to achieve amazing things.",England,Community,Employment,Health
Care and Support Alliance,http://careandsupportalliance.com/,"We represent over 80 of Britain’s leading charities campaigning alongside the millions of older people, disabled people and their carers who deserve decent care. We believe there is a strong case for change and are working with our members towards reform.",UK Wide,Social Care,Older People,Disability
Certain Curtain Theatre Company,http://www.cctheatre.co.uk/,writing original dramas exploring domestic abuse and its impact on women and children to challenge and change attitudes and effect change,UK Wide,Violence against Women,Women's Rights,
Changing Faces ,https://www.changingfaces.org.uk/,"We are caring campaigners – caring and empowering in supportive, friendly, positive and inspiring ways, and campaigning in our education and advocacy work by being forthright, informed, counter-cultural and determined.",UK Wide,,,
